Year,quarter,Average Fare,Year_Quarter,x
1993,1,347.87250000000006,1993 Q1,0
1993,2,277.8377777777778,1993 Q2,1
1993,3,289.3285714285714,1993 Q3,2
1993,4,313.2747058823529,1993 Q4,3
1994,1,320.625625,1994 Q1,4
1996,1,337.16875,1996 Q1,5
1996,2,339.96000000000004,1996 Q2,6
1996,3,321.0411111111111,1996 Q3,7
1996,4,321.8818181818182,1996 Q4,8
1997,1,395.38199999999995,1997 Q1,9
1997,2,310.855,1997 Q2,10
1997,3,336.1990909090909,1997 Q3,11
1997,4,427.31769230769225,1997 Q4,12
1998,1,377.0766666666666,1998 Q1,13
1998,2,315.21200000000005,1998 Q2,14
1998,3,354.4636363636364,1998 Q3,15
1998,4,356.3377777777778,1998 Q4,16
1999,1,368.385,1999 Q1,17
1999,2,390.6377777777778,1999 Q2,18
1999,3,326.10999999999996,1999 Q3,19
1999,4,344.855,1999 Q4,20
2000,1,398.72999999999996,2000 Q1,21
2000,2,358.3155555555556,2000 Q2,22
2000,3,373.4436363636363,2000 Q3,23
2000,4,366.98,2000 Q4,24
2001,1,372.0475,2001 Q1,25
2001,2,359.3422222222223,2001 Q2,26
2001,3,317.045,2001 Q3,27
2001,4,305.11375,2001 Q4,28
2002,1,352.765,2002 Q1,29
2002,2,312.256,2002 Q2,30
2002,3,259.65874999999994,2002 Q3,31
2002,4,266.935,2002 Q4,32
2003,1,261.6842857142857,2003 Q1,33
2003,2,290.9283333333333,2003 Q2,34
2003,3,350.50916666666666,2003 Q3,35
2003,4,256.009,2003 Q4,36
2004,1,268.3784615384615,2004 Q1,37
2004,2,258.6657142857143,2004 Q2,38
2004,3,211.55555555555554,2004 Q3,39
2004,4,212.10699999999997,2004 Q4,40
2005,1,233.26000000000005,2005 Q1,41
2005,2,258.3881818181818,2005 Q2,42
2005,3,287.34000000000003,2005 Q3,43
2005,4,262.7030000000001,2005 Q4,44
2006,1,259.5775,2006 Q1,45
2006,2,282.64714285714285,2006 Q2,46
2006,3,268.2,2006 Q3,47
2006,4,262.94,2006 Q4,48
2007,1,267.125,2007 Q1,49
2007,2,287.50888888888886,2007 Q2,50
2007,3,306.36428571428576,2007 Q3,51
2007,4,297.9785714285714,2007 Q4,52
2008,1,306.91200000000003,2008 Q1,53
2008,2,301.5433333333333,2008 Q2,54
2008,3,330.88,2008 Q3,55
2008,4,295.0916666666667,2008 Q4,56
2009,1,232.81999999999996,2009 Q1,57
2009,2,215.2875,2009 Q2,58
2009,3,245.84499999999997,2009 Q3,59
2009,4,254.5,2009 Q4,60
2010,1,243.32666666666668,2010 Q1,61
2010,2,215.42666666666665,2010 Q2,62
2010,3,264.85,2010 Q3,63
2010,4,282.19,2010 Q4,64
2011,1,272.445,2011 Q1,65
2011,2,248.43666666666664,2011 Q2,66
2011,3,295.92333333333335,2011 Q3,67
2011,4,295.4916666666667,2011 Q4,68
2012,1,286.02,2012 Q1,69
2012,2,313.33333333333337,2012 Q2,70
2012,3,297.18,2012 Q3,71
2012,4,383.3033333333333,2012 Q4,72
2013,1,302.83666666666664,2013 Q1,73
2013,2,287.32666666666665,2013 Q2,74
2013,3,329.97333333333336,2013 Q3,75
2013,4,334.2633333333333,2013 Q4,76
2014,1,299.84666666666664,2014 Q1,77
2014,2,340.57,2014 Q2,78
2014,3,325.6825,2014 Q3,79
2014,4,327.33000000000004,2014 Q4,80
2015,1,314.5833333333333,2015 Q1,81
2015,2,328.74666666666667,2015 Q2,82
2015,3,316.40399999999994,2015 Q3,83
2015,4,287.05875,2015 Q4,84
2016,1,282.95153846153846,2016 Q1,85
2016,2,326.8114285714286,2016 Q2,86
2016,3,306.2307692307692,2016 Q3,87
2016,4,319.91928571428576,2016 Q4,88
2017,1,298.438,2017 Q1,89
2017,2,340.23636363636365,2017 Q2,90
2017,3,311.29699999999997,2017 Q3,91
2017,4,313.98833333333334,2017 Q4,92
2018,1,328.7761538461539,2018 Q1,93
2018,2,334.6645454545455,2018 Q2,94
2018,3,301.79,2018 Q3,95
2018,4,326.5525,2018 Q4,96
2019,1,271.8981818181818,2019 Q1,97
2019,2,324.72999999999996,2019 Q2,98
2019,3,318.42461538461544,2019 Q3,99
2019,4,320.2763636363636,2019 Q4,100
2020,1,298.3766666666666,2020 Q1,101
2020,2,171.91714285714286,2020 Q2,102
2020,3,188.62777777777777,2020 Q3,103
2020,4,192.0790909090909,2020 Q4,104
2021,1,195.94555555555556,2021 Q1,105
2021,2,259.90200000000004,2021 Q2,106
2021,3,278.80750000000006,2021 Q3,107
2021,4,255.03666666666666,2021 Q4,108
2022,1,269.74384615384616,2022 Q1,109
2022,2,379.1109090909091,2022 Q2,110
2022,3,422.6786666666667,2022 Q3,111
2022,4,373.245,2022 Q4,112
2023,1,344.2471428571429,2023 Q1,113
2023,2,302.975,2023 Q2,114
2023,3,286.63285714285706,2023 Q3,115
2023,4,382.75,2023 Q4,116
2024,1,321.7066666666667,2024 Q1,117
